Model,Features,Constraints,Configurations,Homogeneity
systems_software-Embtoolkit-Knüppel2017,1179,323,6.93e185,
systems_software-malta_mips64_5kc-Knüppel2017,1245,865,5.23e214,
systems_software-stm3210e_eval-Knüppel2017,1283,873,2.63e211,
systems_software-edb7xxx-Knüppel2017,1259,900,9.42e217,
systems_software-at91sam7xek-Knüppel2017,1332,928,3.02e227,
systems_software-aki3068net-Knüppel2017,1220,851,1.29e207,
automotive-automotive2-Knüppel2017-2_4,18616,1369,1.64e1596,
systems_software-vads-Knüppel2017,1253,865,8.27e212,
systems_software-mbx-Knüppel2017,1308,889,8.26e222,
systems_software-cq7750-Knüppel2017,1281,864,2.75e222,
systems_software-iq80321-Knüppel2017,1269,898,7.21e218,
systems_software-aaed2000-Knüppel2017,1298,904,3.70e228,
systems_software-hs7729pci-Knüppel2017,1312,886,1.03e227,
systems_software-h8s_sim-Knüppel2017,1196,828,1.10e203,
systems_software-cerf-Knüppel2017,1289,935,1.50e222,
systems_software-sh4_202_md-Knüppel2017,1272,885,5.17e215,
systems_software-eb55-Knüppel2017,1283,914,1.61e218,
systems_software-mace1-Knüppel2017,1247,867,5.75e212,
systems_software-innovator-Knüppel2017,1270,886,7.95e223,
systems_software-eb42-Knüppel2017,1247,884,6.10e214,
automotive-automotive2-Knüppel2017-2_3,18434,1300,3.77e1574,
systems_software-skmb91302-Knüppel2017,1230,840,8.37e214,
systems_software-mb93091-Knüppel2017,1263,876,1.88e220,
systems_software-e7t-Knüppel2017,1280,883,1.19e224,
systems_software-cme555-Knüppel2017,1279,863,8.78e219,
systems_software-edosk2674-Knüppel2017,1207,841,5.40e205,
systems_software-ea2468-Knüppel2017,1408,956,7.86e235,
systems_software-cerfpda-Knüppel2017,1304,946,6.27e223,
systems_software-Linux-Knüppel2017-2.6.33.3,6467,3545,3.90e1672,
systems_software-adder-Knüppel2017,1285,890,1.31e214,
systems_software-psim-Knüppel2017,1194,826,4.63e204,
systems_software-aim711-Knüppel2017,1277,912,1.24e218,
systems_software-mpc50-Knüppel2017,1226,863,3.32e212,
systems_software-refidt334-Knüppel2017,1276,870,3.32e221,
systems_software-pc_rltk8139-Knüppel2017,1270,886,5.33e215,
systems_software-vrc4375-Knüppel2017,1271,870,2.65e220,
systems_software-sam7ex256-Knüppel2017,1345,935,1.24e229,
security-CVE-VarelaVaca2020-2020-12411,478,1259,180336,
systems_software-uClibc-Pett2023-2015-02-20_11-30-20,247,1436,1.13e74,
systems_software-BusyBox-Pett2021-2008-07-19_22-57-00,555,610,5.90e166,
security-CVE-VarelaVaca2020-2009-3070,116,95,3760,
systems_software-BusyBox-Pett2021-2008-02-04_13-12-16,495,527,5.11e148,
systems_software-ocelot-Knüppel2017,1279,872,1.09e224,
security-CVE-VarelaVaca2020-2011-0085,306,264,8772,
systems_software-ebsa285-Knüppel2017,1258,895,1.18e216,
systems_software-uClibc-Pett2023-2019-11-08_03-03-43,234,1562,1.38e70,
systems_software-Fiasco-Pett2023-2018-11-01_09-46-44,236,1284,5.52e70,
security-CVE-VarelaVaca2020-2019-16523,167,146,4088,
security-CVE-VarelaVaca2020-2015-4488,343,552,38544,
security-CVE-VarelaVaca2020-2020-28037,546,522,27092,
security-CVE-VarelaVaca2020-2019-15109,120,1,428,
systems_software-integrator_arm7-Knüppel2017,1272,904,3.74e221,
security-CVE-VarelaVaca2020-2014-1493,590,672,44108,
systems_software-uE250-Knüppel2017,1262,900,2.48e217,
security-CVE-VarelaVaca2020-2011-0061,180,133,5584,
security-CVE-VarelaVaca2020-2014-0165,125,103,4488,
security-CVE-VarelaVaca2020-2008-4068,180,138,2952,
security-CVE-VarelaVaca2020-2014-8639,573,733,48948,
systems_software-uClibc-Pett2023-2011-03-05_18-10-15,256,1817,5.79e76,
systems_software-uClibc-Pett2023-2016-01-03_19-22-22,234,1097,1.38e70,
security-CVE-VarelaVaca2020-2013-0768,534,580,35668,
security-CVE-VarelaVaca2020-2016-2799,392,836,81224,
security-CVE-VarelaVaca2020-2014-1537,262,438,31280,
systems_software-uClibc-Pett2023-2009-10-28_20-12-54,245,1738,2.83e73,
security-CVE-VarelaVaca2020-2013-0757,520,576,71280,
security-CVE-VarelaVaca2020-2012-4191,428,520,32640,
security-CVE-VarelaVaca2020-2010-1202,142,95,3940,
security-CVE-VarelaVaca2020-2020-7107,157,1,576,
security-CVE-VarelaVaca2020-2011-0083,306,264,8772,
systems_software-BusyBox-Pett2021-2007-05-21_23-30-54,439,463,7.10e131,
security-CVE-VarelaVaca2020-2016-1962,359,833,81124,
security-CVE-VarelaVaca2020-2015-9431,104,83,2624,
security-CVE-VarelaVaca2020-2012-3982,488,532,32536,
security-CVE-VarelaVaca2020-2019-17025,479,1234,176288,
systems_software-soletta-Pett2023-2016-02-03_11-32-49,343,1122,8.96e102,
security-CVE-VarelaVaca2020-2012-1951,165,87,6040,
security-CVE-VarelaVaca2020-2013-1735,502,608,40600,
security-CVE-VarelaVaca2020-2015-4480,336,550,38536,
systems_software-BusyBox-Pett2021-2009-06-19_13-45-01,585,637,6.33e175,
systems_software-uClibc-Oh2020-ng_1_0_29,270,1403,9.49e80,
security-CVE-VarelaVaca2020-2014-1576,284,468,33200,
systems_software-cq7708-Berger2013,1239,49770,4.73e372,
systems_software-uClibc-Pett2023-2015-10-22_03-52-27,244,1158,1.41e73,
security-CVE-VarelaVaca2020-2020-12406,898,1646,199808,
security-CVE-VarelaVaca2020-2018-20964,170,1,628,
systems_software-uClibc-Pett2023-2009-03-14_11-30-56,239,1734,4.42e71,
systems_software-pc_i82559-Berger2013,1260,3179,9.93e378,
security-CVE-VarelaVaca2020-2008-1233,154,121,2696,
security-CVE-VarelaVaca2020-2009-0352,112,78,2196,
security-CVE-VarelaVaca2020-2019-15328,183,1,680,
systems_software-snds-Berger2013,1219,3748,4.51e366,
systems_software-uCLinux_distribution-Knüppel2017,1580,197,2.86e419,
security-CVE-VarelaVaca2020-2011-3841,145,1,528,
systems_software-soletta-Pett2023-2015-10-29_11-22-17,294,939,1.59e88,
security-CVE-VarelaVaca2020-2012-0444,399,310,17756,
security-CVE-VarelaVaca2020-2015-7176,327,551,38924,
systems_software-soletta-Pett2023-2015-09-16_13-53-00,268,833,2.37e80,
security-CVE-VarelaVaca2020-2018-0576,161,140,3920,
systems_software-uClibc-Pett2023-2015-10-16_19-27-26,242,1051,3.53e72,
security-CVE-VarelaVaca2020-2010-3772,192,164,4140,
security-CVE-VarelaVaca2020-2011-0071,315,504,40920,
security-CVE-VarelaVaca2020-2014-1511,591,672,44108,
security-CVE-VarelaVaca2020-2014-1540,262,438,31280,
security-CVE-VarelaVaca2020-2015-0829,308,498,34988,
systems_software-sam7ex256-Berger2013,1333,3989,9.37e400,
systems_software-BusyBox-Pett2021-2008-07-04_10-25-44,554,611,2.95e166,
systems_software-uCLinux_base-Knüppel2017,380,3455,2.62e22,
systems_software-nano-Berger2013,1266,3870,6.35e380,
security-CVE-VarelaVaca2020-2016-5277,360,894,86784,
systems_software-uClibc-Pett2023-2009-10-17_14-45-31,242,1728,3.53e72,
systems_software-BusyBox-Pett2021-2008-11-06_23-41-38,2,0,2,
security-CVE-VarelaVaca2020-2015-4503,318,550,38896,
systems_software-soletta-Pett2023-2016-05-11_18-21-25,424,1655,2.17e127,
security-CVE-VarelaVaca2020-2014-1542,275,441,31292,
systems_software-sa1100mm-Berger2013,1223,3760,7.22e367,
systems_software-Fiasco-Berger2013,1639,5228,1.22e493,
security-CVE-VarelaVaca2020-2012-1948,165,87,6040,
security-CVE-VarelaVaca2020-2015-2729,499,678,44884,
security-CVE-VarelaVaca2020-2017-6819,435,413,18128,
systems_software-BusyBox-Pett2021-2007-06-08_13-05-39,445,468,4.54e133,
security-CVE-VarelaVaca2020-2016-5261,350,881,85680,
finance-FinancialServices01-Nieke2018-2017-10-20,,,,
security-CVE-VarelaVaca2020-2013-0752,518,576,35640,
security-CVE-VarelaVaca2020-2015-2743,336,521,36536,
systems_software-Linux-Berger2013-2.6.33.3-2var,62483,273799,9.04e18808,
security-CVE-VarelaVaca2020-2019-17207,143,1,520,
systems_software-BusyBox-Pett2021-2008-10-12_11-20-08,557,577,2.36e167,
security-CVE-VarelaVaca2020-2015-7180,327,551,38924,
security-CVE-VarelaVaca2020-2019-8069,130,106,8320,
systems_software-BusyBox-Pett2021-2007-11-25_03-15-24,482,515,6.24e144,
security-CVE-VarelaVaca2020-2011-0054,195,167,4220,
systems_software-eb55-Berger2013,1271,3882,2.03e382,
security-CVE-VarelaVaca2020-2013-1706,388,516,33688,
systems_software-soletta-Pett2023-2016-05-18_13-36-31,426,1658,8.66e127,
security-CVE-VarelaVaca2020-2020-12395,894,1638,198912,
security-CVE-VarelaVaca2020-2019-10936,376,159,30420,
security-CVE-VarelaVaca2020-2016-5270,360,894,86784,
security-CVE-VarelaVaca2020-2017-18491,131,1,472,
security-CVE-VarelaVaca2020-2020-11026,546,517,26788,
systems_software-BusyBox-Pett2021-2009-07-27_02-55-02,594,648,3.24e178,
security-CVE-VarelaVaca2020-2008-4062,180,138,2952,
security-CVE-VarelaVaca2020-2014-1541,421,573,37700,
systems_software-lpcmt-Berger2013,1250,3824,9.69e375,
security-CVE-VarelaVaca2020-2015-2734,529,688,44940,
security-CVE-VarelaVaca2020-2019-17232,157,1,576,
security-CVE-VarelaVaca2020-2015-7195,321,556,39304,
security-CVE-VarelaVaca2020-2009-1840,104,86,2332,
systems_software-BusyBox-Pett2021-2009-06-17_11-54-52,585,637,6.33e175,
security-CVE-VarelaVaca2020-2020-12426,480,1265,181152,
security-CVE-VarelaVaca2020-2013-5616,582,664,43408,
systems_software-BusyBox-Pett2021-2008-12-03_18-48-39,572,597,7.73e171,
systems_software-eb40-Knüppel2017,1253,890,2.43e215,
security-CVE-VarelaVaca2020-2014-4932,109,1,384,
security-CVE-VarelaVaca2020-2013-5591,456,578,37704,
systems_software-soletta-Pett2023-2016-01-21_11-24-25,334,1096,1.75e100,
security-CVE-VarelaVaca2020-2009-1303,225,187,6328,
systems_software-BusyBox-Pett2021-2010-03-26_13-13-24,626,687,1.39e188,
systems_software-BusyBox-Pett2021-2007-06-17_19-09-05,452,477,5.81e135,
systems_software-soletta-Pett2023-2016-04-01_16-25-58,385,1286,3.94e115,
systems_software-aeb-Knüppel2017,1226,875,9.71e210,
systems_software-BusyBox-Pett2021-2009-03-08_09-30-56,576,616,1.24e173,
security-CVE-VarelaVaca2020-2010-0160,163,135,3400,
systems_software-BusyBox-Pett2021-2009-02-03_23-59-41,576,617,1.24e173,
security-CVE-VarelaVaca2020-2017-18515,135,1,488,
systems_software-soletta-Pett2023-2016-05-10_16-53-29,414,1622,2.12e124,
security-CVE-VarelaVaca2020-2011-0080,206,137,5840,
systems_software-soletta-Pett2023-2015-09-09_18-04-01,250,754,9.05e74,
security-CVE-VarelaVaca2020-2019-20041,531,507,26312,
systems_software-BusyBox-Pett2021-2007-06-12_22-04-57,449,474,7.27e134,
security-CVE-VarelaVaca2020-2013-0748,536,581,35668,
systems_software-sparc_leon-Berger2013,1169,2972,4.01e351,
security-CVE-VarelaVaca2020-2008-5506,103,65,740,
security-CVE-VarelaVaca2020-2013-2702,141,127,1008,
security-CVE-VarelaVaca2020-2014-1523,592,678,44436,
systems_software-BusyBox-Pett2021-2009-09-04_02-21-13,597,650,2.59e179,
systems_software-soletta-Pett2023-2015-11-18_16-37-18,309,995,5.21e92,
systems_software-m5272c3-Knüppel2017,1336,877,4.32e232,
systems_software-uClibc-Pett2023-2018-06-10_06-35-18,234,1560,1.38e70,
systems_software-pati-Berger2013,1249,3266,4.85e375,
security-CVE-VarelaVaca2020-2019-11758,861,1575,192072,
systems_software-soletta-Pett2023-2016-04-04_17-06-14,385,1281,3.94e115,
security-CVE-VarelaVaca2020-2015-7197,331,557,39336,
security-CVE-VarelaVaca2020-2013-0760,515,576,35628,
security-CVE-VarelaVaca2020-2020-13865,293,467,21280,
security-CVE-VarelaVaca2020-2016-10884,103,1,360,
systems_software-mac7100evb-Berger2013,1235,3770,2.96e371,
security-CVE-VarelaVaca2020-2015-7201,350,810,78936,
systems_software-BusyBox-Pett2021-2008-02-24_22-45-04,551,585,3.69e165,
systems_software-cq7750-Berger2013,1268,3173,2.54e381,
systems_software-BusyBox-Pett2021-2007-11-14_10-18-33,476,512,9.76e142,
security-CVE-VarelaVaca2020-2020-6815,473,1244,178296,
security-CVE-VarelaVaca2020-2019-15329,183,1,680,
security-CVE-VarelaVaca2020-2013-1684,384,514,33496,
systems_software-FreeBSD-AlHajjaji2019-8.0.0,1397,14295,1.73e420,
systems_software-soletta-Pett2023-2015-11-23_14-58-51,310,998,1.04e93,
security-CVE-VarelaVaca2020-2011-3661,126,76,4940,
security-CVE-VarelaVaca2020-2009-3010,150,115,4820,
security-CVE-VarelaVaca2020-2015-3421,171,1,632,
systems_software-frv400-Berger2013,1239,3096,4.73e372,
security-CVE-VarelaVaca2020-2012-4188,488,532,32536,
systems_software-adderII-Knüppel2017,1289,890,3.28e214,
security-CVE-VarelaVaca2020-2016-2813,340,1116,163744,
systems_software-BusyBox-Pett2021-2009-01-31_14-22-24,575,613,6.18e172,
security-CVE-VarelaVaca2020-2016-1978,426,822,80616,
security-CVE-VarelaVaca2020-2012-2399,109,87,3784,
security-CVE-VarelaVaca2020-2013-1714,460,569,37224,
systems_software-soletta-Pett2023-2015-12-28_13-48-28,326,1076,6.84e97,
security-CVE-VarelaVaca2020-2014-1574,284,468,33200,
systems_software-BusyBox-Pett2021-2008-06-02_18-59-16,547,590,2.30e164,
security-CVE-VarelaVaca2020-2013-7479,125,104,2912,
security-CVE-VarelaVaca2020-2015-4475,336,550,38536,
systems_software-BusyBox-Pett2021-2009-10-27_17-34-36,602,657,8.30e180,
security-CVE-VarelaVaca2020-2016-5255,350,881,85680,
systems_software-BusyBox-Pett2021-2008-04-13_08-20-00,537,566,2.25e161,
security-CVE-VarelaVaca2020-2015-4515,321,556,39304,
security-CVE-VarelaVaca2020-2010-0174,248,207,6444,
systems_software-csb281-Knüppel2017,1246,871,3.79e213,
security-CVE-VarelaVaca2020-2015-7221,339,809,78900,
security-CVE-VarelaVaca2020-2013-7478,133,112,3136,
security-CVE-VarelaVaca2020-2015-2213,303,281,12320,
security-CVE-VarelaVaca2020-2010-1728,120,149,17340,
security-CVE-VarelaVaca2020-2015-2724,528,689,44948,
security-CVE-VarelaVaca2020-2015-2737,529,688,44940,
security-CVE-VarelaVaca2020-2013-1696,238,398,28016,
security-CVE-VarelaVaca2020-2014-8631,395,568,40796,
security-CVE-VarelaVaca2020-2016-4826,115,1,408,
security-CVE-VarelaVaca2020-2019-9789,442,1151,165648,
systems_software-BusyBox-Pett2021-2008-11-10_18-52-35,569,593,9.66e170,
systems_software-uClibc-Pett2023-2013-11-06_22-21-59,242,1334,3.53e72,
security-CVE-VarelaVaca2020-2015-4476,322,797,77792,
systems_software-cme555-Berger2013,1267,3167,1.27e381,
systems_software-BusyBox-Pett2021-2009-11-27_02-35-15,608,667,5.31e182,
systems_software-soletta-Pett2023-2015-06-29_16-29-46,114,198,1.04e34,
security-CVE-VarelaVaca2020-2017-6753,112,20,252,
security-CVE-VarelaVaca2020-2013-1717,460,569,37224,
security-CVE-VarelaVaca2020-2020-4046,380,358,15708,
systems_software-BusyBox-Pett2021-2008-10-24_10-49-49,559,579,9.43e167,
security-CVE-VarelaVaca2020-2015-7193,331,557,39336,
security-CVE-VarelaVaca2020-2018-20148,489,461,22040,
security-CVE-VarelaVaca2020-2016-5838,388,366,16060,
security-CVE-VarelaVaca2020-2014-8638,573,733,48948,
systems_software-Fiasco-Pett2023-2018-05-09_16-02-56,237,1239,1.10e71,
systems_software-BusyBox-Pett2021-2009-08-21_13-18-31,593,645,1.62e178,
security-CVE-VarelaVaca2020-2011-0053,293,252,7916,
security-CVE-VarelaVaca2020-2014-1513,590,672,44108,
systems_software-stdeval1-Knüppel2017,1203,844,4.58e204,
security-CVE-VarelaVaca2020-2008-1237,154,121,2696,
security-CVE-VarelaVaca2020-2015-2463,128,61,44352,
security-CVE-VarelaVaca2020-2016-5281,361,894,86788,
systems_software-soletta-Pett2023-2016-02-03_09-59-17,342,1117,4.48e102,
security-CVE-VarelaVaca2020-2012-4201,514,550,33600,
security-CVE-VarelaVaca2020-2011-2999,357,300,16816,
security-CVE-VarelaVaca2020-2014-1480,408,530,37496,
security-CVE-VarelaVaca2020-2019-9814,448,1169,168096,
systems_software-soletta-Pett2023-2015-08-24_16-11-34,230,725,8.63e68,
security-CVE-VarelaVaca2020-2015-7177,327,551,38924,
systems_software-BusyBox-Pett2021-2007-06-15_23-43-11,452,477,5.81e135,
security-CVE-VarelaVaca2020-2019-17599,178,1,660,
security-CVE-VarelaVaca2020-2010-3183,276,235,7324,
systems_software-windows-Mendonca2009-7,335,108,1.52e51,
systems_software-ts1000-Berger2013,1298,3218,2.73e390,
systems_software-BusyBox-Pett2021-2008-02-13_16-52-00,501,531,3.27e150,
security-CVE-VarelaVaca2020-2015-0836,463,644,42180,
security-CVE-VarelaVaca2020-2013-1699,238,398,28016,
systems_software-BusyBox-Pett2021-2008-11-06_00-49-59,561,584,3.77e168,
systems_software-BusyBox-Pett2021-2007-09-21_13-43-28,471,504,3.05e141,
security-CVE-VarelaVaca2020-2015-4482,331,547,38516,
systems_software-BusyBox-Pett2021-2008-11-06_23-42-42,567,592,2.42e170,
systems_software-uClibc-Pett2023-2016-06-01_19-59-03,232,1171,3.45e69,
security-CVE-VarelaVaca2020-2012-1970,487,525,31908,
security-CVE-VarelaVaca2020-2014-1499,405,531,37820,
systems_software-uClibc-Pett2023-2009-09-16_10-00-56,239,1732,4.42e71,
systems_software-BusyBox-Knüppel2017-1.18.0,854,123,7.73e212,
security-CVE-VarelaVaca2020-2015-9448,103,87,696,
security-CVE-VarelaVaca2020-2012-2403,109,87,3784,
security-CVE-VarelaVaca2020-2015-5715,332,310,13596,
security-CVE-VarelaVaca2020-2012-1940,162,87,5980,
security-CVE-VarelaVaca2020-2018-18501,837,1483,181528,
security-CVE-VarelaVaca2020-2014-1509,585,671,44100,
security-CVE-VarelaVaca2020-2010-3173,276,235,7324,
security-CVE-VarelaVaca2020-2012-2404,109,87,3784,
security-CVE-VarelaVaca2020-2017-18508,121,1,432,
security-CVE-VarelaVaca2020-2016-1937,339,823,80252,
systems_software-tx39_sim-Berger2013,1180,2988,8.21e354,
security-CVE-VarelaVaca2020-2017-2217,177,1,656,
security-CVE-VarelaVaca2020-2016-5265,363,883,85708,
systems_software-uClibc-Pett2023-2009-11-22_23-54-40,248,1743,2.26e74,
security-CVE-VarelaVaca2020-2012-0450,125,131,23380,
systems_software-BusyBox-Pett2021-2007-11-18_05-36-50,479,514,7.80e143,
security-CVE-VarelaVaca2020-2015-7174,327,551,38924,
security-CVE-VarelaVaca2020-2010-3176,180,122,5156,
security-CVE-VarelaVaca2020-2014-1549,415,578,37992,
security-CVE-VarelaVaca2020-2017-14724,456,434,19052,
systems_software-soletta-Pett2023-2015-11-06_15-00-32,300,965,1.02e90,
systems_software-BusyBox-Pett2021-2010-02-21_13-10-26,622,681,8.70e186,
security-CVE-VarelaVaca2020-2017-5489,433,411,18040,
systems_software-sleb-Knüppel2017,1201,827,1.18e203,
security-CVE-VarelaVaca2020-2008-2801,108,85,1532,
security-CVE-VarelaVaca2020-2014-1519,395,534,38048,
systems_software-excalibur_arm9-Knüppel2017,1247,877,9.44e216,
systems_software-uClibc-Pett2023-2017-02-01_17-48-38,241,1313,1.77e72,
security-CVE-VarelaVaca2020-2009-3071,118,97,3840,
security-CVE-VarelaVaca2020-2013-1738,480,606,40528,
security-CVE-VarelaVaca2020-2018-10100,483,456,19984,
security-CVE-VarelaVaca2020-2012-4181,461,523,32480,
security-CVE-VarelaVaca2020-2016-1960,553,1004,179744,
security-CVE-VarelaVaca2020-2013-0774,504,579,36500,
security-CVE-VarelaVaca2020-2015-0826,304,497,34984,
systems_software-soletta-Pett2023-2016-05-05_17-19-28,408,1602,3.31e122,
security-CVE-VarelaVaca2020-2014-1566,268,635,63104,
systems_software-BusyBox-Pett2021-2008-02-08_15-04-00,497,528,2.05e149,
security-CVE-VarelaVaca2020-2017-18519,111,1,392,
security-CVE-VarelaVaca2020-2015-7202,339,809,78900,
systems_software-Fiasco-Pett2023-2020-03-31_11-32-10,244,1361,1.41e73,
systems_software-soletta-Pett2023-2015-06-26_23-03-00,114,193,1.04e34,
security-CVE-VarelaVaca2020-2008-4060,194,160,4044,
security-CVE-VarelaVaca2020-2013-1687,384,514,33496,
security-CVE-VarelaVaca2020-2015-7207,339,809,78900,
systems_software-ebsa285-Berger2013,1246,3832,6.06e374,
security-CVE-VarelaVaca2020-2014-1478,389,527,37480,
security-CVE-VarelaVaca2020-2015-0830,304,497,34984,
security-CVE-VarelaVaca2020-2019-17012,875,1597,194740,
systems_software-BusyBox-Pett2021-2010-03-18_22-45-35,624,685,3.48e187,
systems_software-BusyBox-Pett2021-2008-05-26_12-01-49,540,564,1.80e162,
security-CVE-VarelaVaca2020-2011-2377,318,266,13940,
systems_software-BusyBox-Pett2021-2010-01-20_02-45-23,611,669,4.25e183,
security-CVE-VarelaVaca2020-2012-0477,157,85,5840,
systems_software-ocelot-Berger2013,1267,3141,1.27e381,
security-CVE-VarelaVaca2020-2008-4065,180,138,2952,
security-CVE-VarelaVaca2020-2019-16218,521,497,25792,
security-CVE-VarelaVaca2020-2019-16780,431,409,17952,
systems_software-uClibc-Pett2023-2017-11-19_09-20-11,238,1411,2.21e71,
security-CVE-VarelaVaca2020-2011-4898,111,88,3828,
systems_software-BusyBox-Pett2021-2007-08-25_18-25-24,469,501,7.62e140,
security-CVE-VarelaVaca2020-2008-2811,164,131,2972,
security-CVE-VarelaVaca2020-2014-1494,405,531,37820,
security-CVE-VarelaVaca2020-2008-2807,108,85,1532,
security-CVE-VarelaVaca2020-2018-0588,206,1,772,
finance-decisionmaking-AlHajjaji2019,366,192,8.98e98,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-51,226,1171,5.39e67,
systems_software-soletta-Pett2023-2015-08-24_15-13-45,230,721,8.63e68,
systems_software-uClibc-Pett2023-2016-10-16_23-31-56,238,1238,2.21e71,
security-CVE-VarelaVaca2020-2016-2809,340,1116,163744,
security-CVE-VarelaVaca2020-2013-6672,416,785,74600,
security-CVE-VarelaVaca2020-2011-3232,377,317,18504,
security-CVE-VarelaVaca2020-2016-2833,367,882,85180,
security-CVE-VarelaVaca2020-2017-7768,487,1502,195056,
systems_software-uClibc-Pett2023-2017-01-22_10-06-29,236,1234,5.52e70,
security-CVE-VarelaVaca2020-2014-1554,265,444,31688,
security-CVE-VarelaVaca2020-2015-3440,307,279,12196,
systems_software-soletta-Pett2023-2015-08-24_10-34-05,228,715,2.16e68,
security-CVE-VarelaVaca2020-2019-20204,280,263,3144,
systems_software-BusyBox-Pett2021-2008-02-18_12-07-49,505,538,5.24e151,
security-CVE-VarelaVaca2020-2011-0051,195,167,4220,
systems_software-BusyBox-Oh2020-1_28_0,999,962,2.68e300,
security-CVE-VarelaVaca2020-2015-5730,303,281,12320,
systems_software-BusyBox-Berger2013-1.18.0,6797,17836,6.31e2045,
security-CVE-VarelaVaca2020-2015-4509,327,551,38924,
security-CVE-VarelaVaca2020-2007-2292,102,76,1368,
systems_software-uClibc-Pett2023-2010-11-24_23-02-11,251,1748,1.81e75,
security-CVE-VarelaVaca2020-2010-3776,288,247,7748,
security-CVE-VarelaVaca2020-2016-10889,104,89,704,
security-CVE-VarelaVaca2020-2020-20634,290,461,21040,
systems_software-sh7708-Berger2013,1254,49851,1.55e377,
security-CVE-VarelaVaca2020-2019-17671,523,498,25844,
security-CVE-VarelaVaca2020-2013-1730,502,608,40600,
systems_software-uClibc-Pett2023-2017-03-20_18-10-36,238,1301,2.21e71,
security-CVE-VarelaVaca2020-2019-20360,113,98,776,
security-CVE-VarelaVaca2020-2014-8642,409,584,41832,
security-CVE-VarelaVaca2020-2012-4218,466,541,33468,
security-CVE-VarelaVaca2020-2017-5612,440,413,18092,
security-CVE-VarelaVaca2020-2016-9903,361,914,88672,
systems_software-integrator_arm9-Berger2013,1268,50606,2.54e381,
security-CVE-VarelaVaca2020-2016-1523,222,172,8756,
security-CVE-VarelaVaca2020-2011-3665,126,76,4940,
security-CVE-VarelaVaca2020-2011-3664,386,608,38936,
systems_software-uClibc-Pett2023-2016-12-14_07-56-05,235,1231,2.76e70,
systems_software-BusyBox-Pett2021-2007-07-14_22-07-14,455,481,4.65e136,
systems_software-BusyBox-Pett2021-2008-05-22_21-56-26,540,564,1.80e162,
systems_software-soletta-Pett2023-2015-10-13_15-57-54,292,922,3.98e87,
security-CVE-VarelaVaca2020-2012-5833,509,549,33592,
systems_software-uClibc-Pett2023-2011-10-14_14-11-01,242,1312,3.53e72,
security-CVE-VarelaVaca2020-2016-1931,339,823,80252,
security-CVE-VarelaVaca2020-2018-20147,489,461,22040,
security-CVE-VarelaVaca2020-2013-2204,120,97,4184,
security-CVE-VarelaVaca2020-2016-1974,551,1004,89872,
security-CVE-VarelaVaca2020-2008-0028,167,225,2688,
security-CVE-VarelaVaca2020-2008-3837,129,97,1672,
security-CVE-VarelaVaca2020-2009-2466,129,86,3444,
security-CVE-VarelaVaca2020-2014-1563,284,449,31712,
security-CVE-VarelaVaca2020-2016-2795,392,836,81224,
systems_software-soletta-Pett2023-2015-10-14_15-02-52,293,925,7.96e87,
security-CVE-VarelaVaca2020-2014-6604,115,1,408,
security-CVE-VarelaVaca2020-2018-17884,135,1,488,
systems_software-BusyBox-Pett2021-2010-04-14_12-31-26,629,679,1.11e189,
security-CVE-VarelaVaca2020-2015-7219,339,809,78900,
systems_software-sleb-Berger2013,1189,3009,4.20e357,
security-CVE-VarelaVaca2020-2018-17866,231,1,872,
security-CVE-VarelaVaca2020-2016-2816,336,839,81872,
security-CVE-VarelaVaca2020-2012-3976,357,421,27024,
security-CVE-VarelaVaca2020-2008-2802,164,131,2972,
systems_software-olpce2294-Knüppel2017,1287,904,7.77e219,
security-CVE-VarelaVaca2020-2013-7477,135,114,3192,
security-CVE-VarelaVaca2020-2012-1952,165,87,6040,
systems_software-soletta-Pett2023-2015-11-10_18-45-06,304,976,1.63e91,
systems_software-BusyBox-Pett2021-2007-06-16_13-37-59,452,477,5.81e135,
security-CVE-VarelaVaca2020-2009-1836,232,194,6664,
security-CVE-VarelaVaca2020-2019-19984,136,1,492,
security-CVE-VarelaVaca2020-2010-3178,276,235,7324,
security-CVE-VarelaVaca2020-2009-1834,150,122,4104,
systems_software-uClibc-Pett2023-2020-09-21_13-39-06,234,1565,1.38e70,
security-CVE-VarelaVaca2020-2016-5272,360,894,86784,
systems_software-mac7100evb-Knüppel2017,1247,867,5.75e212,
security-CVE-VarelaVaca2020-2013-5594,253,424,30056,
security-CVE-VarelaVaca2020-2020-28038,546,522,27092,
security-CVE-VarelaVaca2020-2012-0471,157,85,5840,
systems_software-BusyBox-Pett2021-2009-10-09_22-11-30,600,654,2.07e180,
systems_software-BusyBox-Pett2021-2007-07-20_21-28-41,456,482,9.30e136,
security-CVE-VarelaVaca2020-2016-5837,388,366,16060,
systems_software-soletta-Pett2023-2015-10-20_17-46-20,294,926,1.59e88,
security-CVE-VarelaVaca2020-2014-1518,592,678,44436,
security-CVE-VarelaVaca2020-2013-1675,378,508,33032,
security-CVE-VarelaVaca2020-2016-5253,350,881,85680,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-45,213,1040,6.58e63,
security-CVE-VarelaVaca2020-2014-1586,284,468,33200,
systems_software-cq7708-Knüppel2017,1252,858,2.54e213,
security-CVE-VarelaVaca2020-2020-15683,941,2113,571152,
