Model,Features,Constraints,Configurations,Homogeneity
2017-12-22,716,1148,4.99e28,
2018-01-23,712,1028,2.47e28,
2018-02-20,759,1034,2.03e35,
2018-03-26,771,1080,2.44e34,
2018-04-23,774,1079,3.67e34,
2018-05-09,771,1080,7.15e34,
automotive2_4,18616,1369,1.64e1596,
automotive02_01,14010,666,3.17e1301,
automotive02_02,17742,914,6.76e1503,
automotive02_03,18434,1300,9.72e1575,
automotive02_04,18616,1369,4.22e1597,
